id,bookingId,lawyerId,lawyerName,clientName,clientEmail,date,time,amount,charged,createdAt,chargedAt
3c4ff760-75d3-4c6d-ad28-04e7529e1cd0,edeae496-0b8b-4d89-a409-c7b770544a8e,5,"Ethan Smith","Guest",guest@unknown,2025-12-19,01:58,50,false,2025-12-19T20:28:20.663Z,
588267cf-ee74-4a54-9071-6d5f8a191a44,edeae496-0b8b-4d89-a409-c7b770544a8e,5,"Ethan Smith","Guest",guest@unknown,2025-12-19,01:58,50,true,2025-12-19T20:28:20.663Z,2025-12-19T20:28:49.462Z
1b1747bf-5fe6-4b09-b6ee-48f858bd6d81,db257ece-2ff7-498c-97e3-1882df27b074,2,"Bilal Ahmed","Guest",guest@unknown,2025-12-20,19:36,50,false,2025-12-20T14:06:32.593Z,
0eb63762-f2f6-408d-8cd4-33ce47c80b36,72ce9a51-4a04-4977-af4f-9e2405d1f361,1,"Aisha Khan","Guest",guest@unknown,2025-12-20,23:02,50,false,2025-12-20T17:32:14.425Z,
5b5a4ea8-8d25-4f37-ac89-05310ecdf74d,3ec8d1d2-70ac-439e-9b8b-898044cc3b3d,1,"Aisha Khan","Guest",guest@unknown,2025-12-20,23:03,50,false,2025-12-20T17:33:00.500Z,
1f0add9b-91e4-4278-bb29-f6d4c8577601,3c5d80d9-dcf4-4d31-897c-2830d698febe,8,"soha","Guest",guest@unknown,2025-12-20,23:30,50,false,2025-12-20T18:00:24.875Z,
b15f3097-fb2f-4bc1-a492-59675ac17c7a,f4570e62-b524-4b3d-9e10-52af123eaf32,8,"soha","para",para@mail.com,2025-12-22,13:00,50,false,2025-12-20T18:00:43.306Z,
b781fa8e-bd11-4a49-b1e3-f28e551a1169,6bcef409-7eb2-41ef-bc81-e41e42fdd3dd,1,"Aisha Khan","jaya@mail.com",jayanth@mil.com,2026-01-10,09:00,50,false,2025-12-20T18:02:33.388Z,
d4816392-5edf-431a-889f-3cb2b82dc085,3bd81d45-94be-474e-a4ea-0a0a50297939,9,"jayanth","Guest",guest@unknown,2025-12-20,23:34,50,false,2025-12-20T18:04:30.040Z,
3ffb8905-3be1-4d79-931e-d622c99f537b,6fc8fa37-12d7-4e58-ab0a-1af73f02d204,9,"jayanth","ak",ak@mail.com,2025-12-21,09:00,50,false,2025-12-20T18:04:46.129Z,
ed422f21-447b-4d3b-ba0c-0a48356904fc,7436c67a-af34-4b1d-9c08-add64b381ae4,9,"jayanth","Guest",guest@unknown,2025-12-20,23:34,50,false,2025-12-20T18:04:49.033Z,
3f544a3a-d993-4625-8470-e7a82882d709,719d107e-3f28-40eb-a362-6b3659339514,3,"Chen Li","jay",jay@mail.com,2025-12-25,16:48,50,false,2025-12-25T11:18:56.020Z,
b0b0fc5e-0934-46fc-98bb-b9073f1a71bd,9352f9f6-da84-4c6f-8f89-c93edef44682,9,"jayanth","para",para@m.c,2025-12-25,16:49,50,false,2025-12-25T11:19:21.346Z,
639c1124-a25b-4434-bd07-1117b1200335,6dc993c3-f080-413d-9557-c035c1f8c8ab,9,"jayanth","ha",a@l.h,2025-12-27,10:00,50,false,2025-12-25T11:19:35.354Z,
